video_id,duration_minutes,title_length,description_length,tags_count,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,total_views,duration_minutes_log,channel_subscribers_log,has_thumbnail_custom_Sim,video_quality_480p,video_quality_4K,video_quality_4k,video_quality_720p,category_  Educação,category_  Fitness,category_  Gaming,category_  Música,category_  Tecnologia,category_  Vlogs,category_Culinária,category_Educação,category_Fitness,category_Gaming,category_Música,category_Tecnologia,category_Vlogs,language_Espanhol,language_INGLÊS,language_Inglês,language_PORTUGUÊS,language_Português,has_subtitles_Sim,promoted_Sim,upload_time_Manhã,upload_time_Noite,upload_time_Tarde,upload_day_Seg-Qui,upload_day_Sexta,upload_day_Sábado,engagement_rate,content_density
VID01849,0.053079261802088266,-1.3954720415731523,0.6835142599099058,0.36175577949766907,0.243345729434848,-1.5462547674839044,-0.6369799149423463,0.4915738626328579,-1.1183159935141498,-0.5305242159938982,-0.7012463383580296,-0.21281699412397628,494000,0.32821449213298115,0.4717119797102369,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.02507426051325441,-0.24011890731119628
VID01412,0.2688276956319911,-0.6678134699169641,0.9905698768981996,-0.9398319837757586,-1.1966866189581298,0.8216913298046932,0.35566850962573004,-0.9997509437864881,-0.47458077375434193,-1.6382643968470088,1.2073853277268642,-1.6353066002659282,122096,0.4786127627097951,-1.681364628017776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.025445118059126852,-0.5471280451288455
VID00431,0.5385132379193697,0.5577167560303002,0.8370420684040527,1.6633435427710968,0.17220714487971323,-1.604009550344602,-1.677549297937847,1.0651603266402987,-1.548533325995032,0.9618308963170903,0.5824226937859911,-0.4447817260607934,421856,0.6457624056693331,0.43211058799995666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.02207659726474935,-0.10694304474702805
VID02148,0.48457612946189393,-0.9358982068429281,-0.6616817764197621,0.293251160378015,-1.1069890205078057,-1.604009550344602,0.04075935424551273,-1.2291855293894645,0.032700961751053165,1.0513079981124767,1.181374509441361,-0.6153440289555119,279129,0.6139446856554326,-1.220047036970837,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.010120034532415414,-0.3394779506705573
VID02493,-0.7020402566025716,-0.13164399606503593,-0.5264310879844423,-0.5288042690578341,-0.8665271823370058,-0.33340432740925685,-1.05457683838133,-0.4261644797790473,1.2979004958094567,-1.6192078232585256,0.10157405304858133,-0.8814212214712727,329481,-0.38929609973608714,-0.5798287308292865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,-0.026648102590207643,-0.25687214746886955
VID01620,0.646387454834321,1.3619709668081925,0.0001769597492156983,-1.5563735558526453,-1.1495095540120412,-1.3729904189018118,1.095020439648849,-0.5408817725805355,-0.07547200763197882,-1.5515877234284245,-0.6239168785903175,-1.6455403384396114,200108,0.7072362055778215,-1.4082147384472872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,-0.02448551939393131,-0.6740109049301286
VID00862,1.2396956478665537,-0.39972873299100004,1.0015361489334957,-1.213850460254375,0.6562102236659528,-0.33340432740925685,-1.2462606720910276,-1.688054700595417,-0.10233849675979068,-1.3091799110071833,-0.5318245219578605,-0.45842671029237086,1233997,1.0029457116313625,0.6710114897180611,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.02667262805714304,-0.6322970291840028
VID00283,-0.3784176058577174,0.5577167560303002,0.40570203501573526,1.3208204471728264,-0.09748707609540089,-0.4200365017003031,-1.5953990834908338,1.4093122050447633,-1.7217514795822402,0.14991157643788666,-0.37154164171205717,-0.809785054255491,2076319,-0.03452957852931041,0.26261941230924557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.022853135223122233,0.17929787425852659
VID01514,-1.34928555809228,-1.5103655002557084,0.8772517325334721,-1.282355079374029,-0.9581581189524894,0.9083235040957395,-1.6638575955300114,-1.1144682365879763,0.24091625249159512,-1.0674551298973574,1.311428600868877,0.2545237158075523,455382,-1.6282959155867085,-0.7713010784874891,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.02209267898429592,-0.3086548897744052
VID00650,-1.1335371242623773,1.0555884103213764,-0.19378750291379068,-0.8713273646561045,1.1590794822240893,1.3703617669813195,0.4925855337040854,1.4093122050447633,-1.2190653277434444,-0.09864351778609097,-0.2928061917667503,-0.403846773366061,3907314,-1.080029762929754,0.8638388879497613,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.025380552348064276,-0.17919803401056614
VID01076,1.0778843224941268,-0.9358982068429281,1.2062398935923584,0.4302603986173232,-1.1547520237229076,0.9949556783867858,-1.4927113154320673,-0.7703163581835119,1.098169359530329,-1.4267295997017329,-0.39122550419838387,-1.2396020575501814,336576,0.9284943923966756,-1.4345833051221832,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,-0.022227933837799557,-0.3941452662222234
VID01356,-1.34928555809228,1.2087796885647846,1.520606358604183,-0.39179503081852585,1.0399326779976574,-0.2467721531182106,-1.1572646064400967,0.6062911554343461,-1.662008891916448,-1.332676188119865,-1.5272655676949543,-1.00422607955547,646251,-1.6282959155867085,0.8219429795671892,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,-0.026798428540718996,0.5328146726905486
VID01383,-1.1335371242623773,1.4002687863690446,-1.5974703234317051,-0.46029964993817996,-1.1789122977227648,0.04200176118527692,-1.1504187552361789,-0.5408817725805355,-0.6541620431876107,-0.9962832672478975,-1.6713795608984177,-0.9087111899344277,92928,-1.080029762929754,-1.5679278883352916,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.012622920427548848,0.07971567751711194
VID01088,0.5385132379193697,-0.7827069285995202,-1.1076435058551413,0.7727834942155937,0.4986470350442353,0.44628524121015944,0.25298074156696354,1.1798776194417868,0.7892047345604926,0.01467137677768448,0.005263725883339914,-0.2878644073976524,740987,0.6457624056693331,0.6003471649054389,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-0.0245148410079803,-0.26349552148469385
VID02143,0.8081987802067482,0.059845101739224124,0.5957840836275362,-1.0768412220150667,0.23417721519900478,0.5906721983619032,-1.232568969683192,1.1798776194417868,0.7662268162274956,-0.0011066465160057732,-0.5465874188226054,-0.8643649911818009,537180,0.7945045943360135,0.46671031157320336,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,-0.024075871524431126,-0.599932815243043
VID01217,0.3227648040894668,-0.59121783079526,-0.6726480484550583,1.5263343045317885,0.8255928454762756,1.5725035069937607,0.16398467591603255,-0.5408817725805355,0.19036483215900174,-0.47062236998278845,0.6949019079935723,-1.6728303069027664,666426,0.5137365741276436,0.7409541223091413,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.025588809228122112,-0.07297702415305721
VID00938,0.10701637025956397,-0.323133093869296,1.0051915729452612,-1.6933827940919535,0.1830095750815724,-0.5644234588520469,-0.40422097400914214,0.2621392770298816,0.23596716238910345,-0.5992371659222635,-0.03902496471089519,1.2813087792337574,1021477,0.3674111702162153,0.43824402693517667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,-0.025118468073638604,-0.6970254570659222
VID00057,-0.3244804974002417,-0.9741960264037802,0.5080539073451665,1.6633435427710968,0.5196737008565041,-1.228603461750068,-1.410561100985054,-0.7703163581835119,-0.321865993448885,1.5266977908574297,-0.84887530700548,0.5274234004391019,1778552,0.01650254238415486,0.6101234390135807,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,-0.022168290156478362,0.2427354218123167
VID00932,-0.3244804974002417,0.9789927711996724,-0.5191202399609115,0.9097927324549018,1.1904800947463396,-0.36228171883960564,1.149787249280191,-0.885033650985,1.1455392219398919,-1.6448214974365942,0.6527222026657293,0.4523759871654257,750420,0.01650254238415486,0.8745453798094944,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.02718647628234957,0.03176869390087528
VID00980,0.4306390210044182,-0.8976003872820761,-0.7859661928197859,0.22474654125836094,-0.8799624629106442,1.081587852677832,1.3962378926212307,0.6062911554343461,-0.8054627977494986,1.3406400616279395,0.03127454416884307,1.3358887161600674,226235,0.5813602002619829,-0.6053479960387327,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.007213099028439136,-0.34338721693055707
VID00644,0.3227648040894668,0.7109080342737083,0.975948180851138,1.3893250662924803,0.4490900798601267,-0.6799330245734418,-1.615936637102587,-1.688054700595417,1.165689088785751,-0.6852308080294325,-0.6963253727364479,-0.09683462815556773,690147,0.5137365741276436,0.5768516356174271,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-0.025582378756938317,-0.09953227661743447
VID02437,-0.7020402566025716,0.5194189364694483,1.1916181975452966,1.5263343045317885,-0.36558093704060995,1.0238330698171345,-0.22622884270728022,0.9504430338388106,1.7776087293152554,1.1438587408092311,-0.8270824592527611,-1.5670816791080409,633259,-0.38929609973608714,0.052189076366560984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-0.018603264153446902,0.5198689871141647
VID00045,1.2936327563240295,-0.6678134699169641,0.2960393146627732,1.3208204471728264,0.7174136699064028,1.0527104612474831,1.560538321515257,1.4093122050447633,-0.2048553631685465,-0.011283813056091694,1.3648562276174778,-0.2946868995134412,640085,1.0268789153667497,0.696952159365565,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,-0.024847282790865018,-0.29729902523371754
VID01463,-0.4323547143151931,-0.8210047481603722,-1.041845873643364,0.8412881133352477,0.529172612001747,0.735059155513647,1.1292496956684377,0.6062911554343461,-1.6955920033262126,0.6115724398233949,-0.20282282040068533,-0.6119327828976175,1976739,-0.08756346251834977,0.6145033656631065,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,-0.023626333785430234,0.0693591290560048
VID01201,-1.34928555809228,-0.6678134699169641,1.0161578449805575,-0.2547857925792177,0.004636543619379649,-0.8243199817251856,1.717992899205366,-0.08201260137458286,-1.7217514795822402,-0.6982084029463206,-1.1089834898605115,0.12830761166546065,1111062,-1.6282959155867085,0.33082880561402733,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.025045229036597748,0.6622715284543876
VID01778,0.2148905871745154,-0.16994181562588795,-0.387524975537357,-1.5563735558526453,-0.8956924532690982,-0.8531973731555343,-0.9724266239343169,-1.4586201149924407,0.022449275110177584,0.13133312476739423,1.3191615468456481,0.18971004070755929,272728,0.442552206737267,-0.6362319721172138,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,-0.014697926194158292,-0.6690347855494166
VID00354,0.10701637025956397,-0.055048356943331905,-1.4293208188904967,-0.04927193522025542,0.6978660465088689,-0.5066686759913493,-1.2599523744988632,1.1798776194417868,1.5326287692419183,-0.8034635280353971,1.2797938218729945,0.786678100839074,608321,0.3674111702162153,0.688752649930132,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-0.02595977312248019,-0.34194379554224946
VID01927,1.5093811901539325,-1.4720676806948563,1.5425389026747753,-0.00024141145518047672,0.8272370863457105,0.44628524121015944,1.1634789516880266,1.1798776194417868,-0.2066228953480078,-0.466729091507722,-0.3314709216506064,0.2204112552286086,741331,1.118588000104908,0.7416056744175105,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.02558484879018308,-0.48721429963481405
VID00458,0.053079261802088266,1.2470775081256364,-1.3086918265022383,-0.2547857925792177,0.40879198181677534,0.5617948069315545,0.7664195818607961,0.2621392770298816,1.4986921513962612,0.3758583342540224,-0.8073985967664344,-0.49595041692920894,1243302,0.32821449213298115,0.5572557985373506,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,-0.02376732426415165,-0.37719087223761405
VID00176,0.4306390210044182,1.0172905907605243,0.5811623875804746,0.22474654125836094,-0.8324988818946857,-0.6510556331430931,-1.4447903570046428,1.4093122050447633,-0.826319677467142,0.0050406352867306894,-1.6432597573465224,1.165326413265349,523900,0.5813602002619829,-0.5184234693666935,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,-0.017071056888612223,-0.34338721693055707
VID00766,-0.7020402566025716,1.3619709668081925,-0.46428887978443045,-0.6658135072971422,-1.1687319429518848,-0.4489138931306519,0.7938029866764672,-0.196729894176071,-0.4303924692678092,1.2547830257830535,-0.5437754384674159,0.10784013531809443,205855,-0.38929609973608714,-1.5091754400540711,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0.02910629960159405,-0.3086548897744052
VID02151,-0.3784176058577174,-0.8593025677212242,0.6798588358981404,-1.5563735558526453,-1.1022911894522778,-0.04463041310576934,-0.03454500899758271,-1.3439028221909526,1.0126208020444016,0.03775783510351697,1.7163537720161692,0.6570507506390879,210224,-0.03452957852931041,-1.2015967827726715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.004078404688668619,-0.6571925783693564
VID00480,1.023947214036651,0.8640993125171164,-1.0345350256198331,-1.213850460254375,0.22664261692917756,1.3703617669813195,0.18452222952778585,-0.7703163581835119,-0.17056523888699712,-0.8607015519319877,-1.036574995714381,-0.6835689501133992,476667,0.9027376001035736,0.46257787009562135,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.02566815261333282,-0.627317919346932
VID01568,1.023947214036651,-1.5486633198165602,0.014571665756837241,-1.5563735558526453,-0.2494722356451429,0.4751626326405082,-0.8355095998559615,0.3768565698313698,-1.1932593579233093,-1.0497646189317047,-0.7891207244577024,-0.27421942316607495,380367,0.9027376001035736,0.14976615004459798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,-0.025467582880264857,-0.6771090177176393
VID01318,0.3227648040894668,0.09814292130007614,-0.44235633571383803,0.7042788750959396,0.9622455234491853,-0.5933008502823957,0.1366012711003615,0.3768565698313698,-1.3908694555870835,-0.35259455937024836,-0.44535612603578234,-1.3692294077501674,516700,0.5137365741276436,0.7934711181565005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,-0.025539730245849858,-0.2323085389393206
VID01638,-0.648103148145096,0.3279298386651882,0.6323383237451902,0.4302603986173232,-0.1358621608770115,-1.1997260703197195,-1.1367270528283433,1.294594912243275,-0.9443908270551573,-0.8977901521418311,1.414768878922092,1.387057407028483,716617,-0.3233224929774514,0.23550587628451836,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-0.025269081634461805,0.06738645315865112
VID02185,1.3475698647815053,0.4428232973477442,0.07671387395684907,0.9782973515745559,-0.20472152300245888,-1.3729904189018118,-0.36314586678563554,-0.885033650985,-0.6202254253419536,-0.3799841149579964,1.4928013337786015,-1.0110485716712587,454657,1.0503958683029126,0.18457684910400482,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,-0.0238030452469504,-0.3488311553562862
VID00809,-1.1335371242623773,1.4002687863690446,-0.9102506092198095,-0.1862811734595636,0.4213728766325129,0.33077567548876446,-1.5269405714516562,-0.5408817725805355,-0.3480254697049123,1.5771055016398687,-1.102656534061335,1.230140088365342,667665,-1.080029762929754,0.5634221161671091,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,-0.021796801869305566,0.25232481853556393
VID01566,-0.16266917202781456,-1.4337698611340044,-0.8225204329374398,-0.11777655433990951,0.2707815790443011,-1.488499984623207,-1.2188772672753565,0.4915738626328579,0.5523554225126774,-0.08177264439413647,0.05939434772073838,0.13854134983914376,1402635,0.15897005292086752,0.48650574811387515,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,-0.024295993045108728,-0.30002443272348256
VID00044,0.7003245632917967,1.4768644254907486,1.3268688859806166,1.5263343045317885,-0.8496666150541995,0.07087915261562568,1.0470994812214245,-1.688054700595417,0.2670757287476225,-1.5753572130656723,-0.7237421811995459,-0.06613341363451841,645001,0.73695587907213,-0.5488494942694305,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,-0.026401136503232007,-0.16794091611805834
VID00451,1.2396956478665537,-0.9358982068429281,1.166030229462939,-1.5563735558526453,-0.6819540463718582,-1.5173773760535556,1.0128702252018358,0.9504430338388106,1.7256432832390929,1.6473211204533473,0.3124725796877961,-0.47207169452394837,1353564,1.0029457116313625,-0.289938087380302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.012035372607780403,-0.6785316205282309
VID00782,-0.21660628048529026,-0.8210047481603722,-1.6486462595964206,-1.0083366028954126,-0.032148506035744644,0.9660782869564369,-0.7396676830011127,0.6062911554343461,-1.3523372540748269,1.319397787842928,-0.6914044071148663,1.6053771547337226,585927,0.11312868967002937,0.30688477589097224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.02045039587371697,-0.5184642767020063
VID00325,0.5924503463768453,0.021547282178372117,0.7237239240393253,0.08773730301905275,1.1184587309489022,0.33077567548876446,-0.23992054511511574,1.1798776194417868,-1.275272851050314,0.6981808101108375,-0.9269077618619894,0.9811191261390529,1515752,0.6768486186539779,0.8497857863359104,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-0.02440347427896862,-0.39103652526048455
VID00840,0.7542616717492725,-0.9741960264037802,1.2574158297570739,-1.3508596984936831,0.846237489862051,0.013124369754928167,-0.2741498011347046,-0.5408817725805355,1.4000638557823202,0.7422363296971155,1.0906881429864987,-1.6011941396869847,726554,0.7660363699922094,0.7490988700859148,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.023984694390105782,-0.641937433336629
VID00757,-0.9177886904324745,-0.16994181562588795,1.5059846625571214,-0.6658135072971422,0.7612945094360577,1.2548522012599246,-1.4927113154320673,0.9504430338388106,0.9327283475327507,-1.1163601717946832,1.2284751803907856,-1.069039754655463,1334950,-0.6910287369538245,0.7150758289840301,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.026434671217809586,-0.2115622479515259
VID00974,0.48457612946189393,0.9406949516388204,1.6375799269806757,-0.04927193522025542,0.06717190240084735,0.2441435011977182,-1.3010274817223697,-0.3114471869775592,-1.0621084702072803,-1.500701890727995,-0.079095684772346,-1.3248832089975406,383619,0.6139446856554326,0.37004915830361995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,-0.026818813546911152,-0.40112407246286164
VID02298,0.2688276956319911,1.4385666059298965,1.3743893981335669,1.5948389236514426,-1.143665658677033,-0.21789476168786184,-0.5342921468835797,-0.9997509437864881,1.4304654092690547,0.973442428611148,1.1054510398512438,-1.1372646758133504,272058,0.4786127627097951,-1.3797530534780509,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.01656884452803333,-0.04292765952231455
VID00510,1.4554440816964567,0.17473856042178015,-1.4000774267963734,-0.7343181264167963,1.0843065316655573,-0.7376878074341394,1.3209335293781352,1.4093122050447633,1.613581743061246,1.435171595127798,1.3297064731776087,0.7798556087232852,2080170,1.096237231553751,0.8377882831161155,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,-0.023475748262608453,-0.5761990583530058
VID00611,-1.4032226665497558,-0.016750537382479894,0.8333866443922873,0.4302603986173232,-0.17196834813235348,-0.5644234588520469,0.5199689385197565,-1.2291855293894645,-0.06486681455521097,0.3906118105805899,0.2822437908695087,-0.14800331902398328,461806,-1.8088558242672899,0.20918176420209916,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.02196059897621072,1.5962102736077979
